crt_loc_cd,crt_loc_desc,vld_flg
623J,SUNSET JUSTICE,Y
624J,SYRACUSE JUSTICE,Y
2343J,TOOELE COUNTY JUSTICE,Y
257J,TREMONTON JUSTICE,Y
2932J,UINTAH JUSTICE,Y
439J,WELLINGTON JUSTICE,Y
335J,WELLSVILLE JUSTICE,Y
2347J,WENDOVER JUSTICE,Y
626J,WEST BOUNTIFUL JUSTICE,Y
1888J,WEST JORDAN JUSTICE,Y
261J,WILLARD JUSTICE,Y
630J,WOODS CROSS JUSTICE,Y
2501J,ALPINE JUSTICE,Y
9998O,COMPACT,Y
606J,CLEARFIELD JUSTICE,Y
2J,HONEYVILLE JUSTICE,Y
211J,BOX ELDER COUNTY JUSTICE,Y
1873D,WEST JORDAN DISTRICT,Y
9999S,US SUPREME COURT,Y
1853J,MURRAY JUSTICE,Y
1881J,TAYLORSVILLE JUSTICE,Y
9999D,UNKNOWN DISTRICT COURT,N
9999C,UNKNOWN CIRCUIT COURT,N
9999J,UNKNOWN JUSTICE COURT,N
9999A,UNKNOWN APPEALS COURT,N
9999F,FEDERAL COURT,Y
9999O,BOP,Y
9999V,JUVENILE COURT,Y
2218D,SILVER SUMMIT DISTRICT,Y
1853D,MURRAY DISTRICT,N
1890D,WEST VALLEY DISTRICT,N
2542D,OREM DISTRICT,Y
2553D,SALEM DISTRICT,Y
2558D,SPANISH FORK DISTRICT,Y
615D,LAYTON DISTRICT,Y
604D,BOUNTIFUL DISTRICT,Y
9999U,UNKNOWN,Y
2502D,AMERICAN FORK DISTRICT,Y
1890J,WEST VALLEY JUSTICE,Y
1867J,SALT LAKE CITY JUSTICE,Y
1868J,SALT LAKE COUNTY JUSTICE,Y
1873J,SANDY JUSTICE,Y
1878J,SOUTH JORDAN JUSTICE,Y
1879J,SOUTH SALT LAKE JUSTICE,Y
1823J,DRAPER JUSTICE,Y
1809J,BLUFFDALE JUSTICE,Y
1868D,SALT LAKE DISTRICT,Y
242J,HOLLADAY JUSTICE,Y
1311J,KANE COUNTY JUSTICE,Y
5001J,SAN JUAN JUSTICE,Y
710J,DUCHESNE JUSTICE WEST,Y
2704J,EAST CARBON CITY JUSTICE,Y
1217J,JUAB COUNTY JUSTICE,Y
2716J,SALINA JUSTICE,Y
5002J,SANPETE JUSTICE,Y
5003J,SUMMIT COUNTY JUSTICE,Y
7001J,TOOELE VALLEY JUSTICE,Y
3976J,WASHINGTON COUNTY JUSTICE,Y
6033J,WEST MILLARD JUSTICE,Y
9997O,US MARSHALL,Y
9994O,IMMIGRATION,Y
9993O,INTRANSIT,Y
9993C,DIXIE COLLEGE,Y
9995C,CITATION SYSTEM,Y
8999J,SLC JUSTICE OR SLCO JUSTICE,Y
8888J,CLEARFIELD/CLINTON/RIVERDALE J,Y
8887J,JUAB CNTY/LEVAN/NEPHI JUSTICE,Y
8886J,TAYLORSVILLE OR RIVERTON JUSTI,Y
8885J,CENTERVILLE/FRUIT HEIGHTS JUST,Y
